Document,Author,Page,Date,Type,Subject,Comment
SOE2026_MAFMC_IR_Final_commented.xfdf,Kiersten L Curti,2,2026-02-19 11:01:07,highlight,Comment on Text,2024 or 2025?
SOE2026_MAFMC_IR_Final_commented.xfdf,Chris Legault,2,2026-02-20 09:47:24,highlight,Comment on Text,"Inconsistent use of a hyphen or not in Mid Atlantic (e.g., see Commercial profits second sentence)."
SOE2026_MAFMC_IR_Final_commented.xfdf,Chris Legault,2,2026-02-20 09:52:19,highlight,Comment on Text,"This wording does not appear consistent with the declining trend symbol shown to the left. My guess is that there are two time periods being used, a shorter one for the remains near statement and a longer one for the declining trend. Not sure how to get around this, or if need to, just wanted to point out what could be seen as an inconsistency."
SOE2026_MAFMC_IR_Final_commented.xfdf,Chris Legault,2,2026-02-20 09:57:46,highlight,Comment on Text,"This is just a mathematical artifact of the declines in state-managed species and scallops, right? The commercial profits section above indicates declining profits for managed species in the region. So the managed species are not declining as fast as the state-managed species and scallops, making the managed species a larger proportion of the total - or am I misinterpreting something? If this is correct, perhaps replace contribution with proportion to make it a bit more clear?"
SOE2026_MAFMC_IR_Final_commented.xfdf,Chris Legault,2,2026-02-20 10:13:59,highlight,Comment on Text,Figure 3 shows moderate risk and the text on page 8 says moderate to high risk. Is high risk appropriate here?
SOE2026_MAFMC_IR_Final_commented.xfdf,Robert Murphy,2,2026-02-23 09:00:09,highlight,Comment on Text,"add text that explains this is over the entire time series, not just this last year"
SOE2026_MAFMC_IR_Final_commented.xfdf,Emily Liljestrand,2,2026-02-23 09:54:41,highlight,Comment on Text,A shift how? The other sentences might imply that there is just less participation. A more descriptive word than shift might add additional clarity
SOE2026_MAFMC_IR_Final_commented.xfdf,Emily Liljestrand,2,2026-02-23 09:56:03,highlight,Comment on Text,"should be ""towards a lower trophic level""?"
SOE2026_MAFMC_IR_Final_commented.xfdf,Samantha.L.Werner,2,2026-02-25 14:17:43,highlight,Comment on Text,"after revenue add ""driven by lower benthos landings and prices"""
SOE2026_MAFMC_IR_Final_commented.xfdf,Samantha.L.Werner,2,2026-02-25 14:19:21,highlight,Comment on Text,Profitability
SOE2026_MAFMC_IR_Final_commented.xfdf,Samantha.L.Werner,2,2026-02-25 14:22:25,highlight,Comment on Text,The trend is downward (fig 13)
SOE2026_MAFMC_IR_Final_commented.xfdf,Samantha.L.Werner,2,2026-02-25 14:23:37,text,Sticky Note,total and managed revenue and profit index (managed only).
SOE2026_MAFMC_IR_Final_commented.xfdf,Samantha.L.Werner,2,2026-02-25 14:40:23,highlight,Comment on Text,would ideally like this to be revenues and profits
SOE2026_MAFMC_IR_Final_commented.xfdf,Kristan Blackhart,2,2026-02-27 11:18:40,highlight,Comment on Text,"This is presented as fact in both reports, but the declines are not fully understood. Some people may only look at the graphical summary, so precise language is important."
SOE2026_MAFMC_IR_Final_commented.xfdf,Amanda Hart,2,2026-03-02 14:26:52,highlight,Comment on Text,Include MAFMC to be consistent with prior section objective language
SOE2026_MAFMC_IR_Final_commented.xfdf,Amanda Hart,2,2026-03-02 14:47:34,highlight,Comment on Text,Seems to contradict trend icon
SOE2026_MAFMC_IR_Final_commented.xfdf,Kiersten L Curti,3,2026-02-19 11:27:13,highlight,Comment on Text,Am I correct that mis-allocation could also lead to F's potentially higher than the recommended values in some areas?
SOE2026_MAFMC_IR_Final_commented.xfdf,Chris Legault,3,2026-02-20 10:02:40,highlight,Comment on Text,"If the forecasts are initialized with current conditions, why don't the dots lie on top of th GLORYS line?(same comment as in the New England SOE)"
SOE2026_MAFMC_IR_Final_commented.xfdf,Kristan Blackhart,3,2026-02-27 11:10:05,caret,Inserted Text,C
SOE2026_MAFMC_IR_Final_commented.xfdf,Kristan Blackhart,3,2026-02-27 11:10:12,caret,Inserted Text,C
SOE2026_MAFMC_IR_Final_commented.xfdf,Kristan Blackhart,3,2026-02-27 11:11:02,highlight,Comment on Text,"The language here might be reconsidered. It reads as if changes are well understood and it's a simple decision to consider them, or not. That's not an accurate description of the situation and the NEFSC should do a better job of managing expectations with our partners."
SOE2026_MAFMC_IR_Final_commented.xfdf,Emily Liljestrand,4,2026-02-23 10:16:04,highlight,Comment on Text,"Contradicts the information on page 1, though I get that these are reports of ""observations"" and page 1 is more factual (?)"
SOE2026_MAFMC_IR_Final_commented.xfdf,Cameron Hodgdon,4,2026-02-25 14:10:06,highlight,Comment on Text,distribution and timing should both be plural.
SOE2026_MAFMC_IR_Final_commented.xfdf,Robert Murphy,5,2026-02-23 09:00:37,highlight,Comment on Text,this is old text. we should say commercial fishing activity
SOE2026_MAFMC_IR_Final_commented.xfdf,Kristan Blackhart,5,2026-02-27 11:12:06,highlight,Comment on Text,"there are references/summaries for 2024 and 2025 (and 2026!), but it's not explained anywhere why. This might be useful to orient readers."
SOE2026_MAFMC_IR_Final_commented.xfdf,Kristan Blackhart,10,2026-02-27 11:19:29,highlight,Comment on Text,long-term vs. short term
SOE2026_MAFMC_IR_Final_commented.xfdf,Robert Murphy,13,2026-02-23 09:14:08,highlight,Comment on Text,is it fully or just partly attributed to..
SOE2026_MAFMC_IR_Final_commented.xfdf,Robert Murphy,13,2026-02-23 09:14:26,highlight,Comment on Text,this might open up some scrutiny unless we explain a bit more what this means
SOE2026_MAFMC_IR_Final_commented.xfdf,Robert Murphy,13,2026-02-23 09:15:48,highlight,Comment on Text,"I don't think we have any evidence for this. In fact, there is evidence in the literature to the opposite. please remove"
SOE2026_MAFMC_IR_Final_commented.xfdf,Kristan Blackhart,13,2026-03-02 07:03:04,highlight,Comment on Text,"It's more complicated than that and linked to population abundance, distribution changes, and fishery viability"
SOE2026_MAFMC_IR_Final_commented.xfdf,Kristan Blackhart,13,2026-03-02 07:03:38,highlight,Comment on Text,"While technically true, this is a very incomplete description of the scallop situation in the Mid-Atlantic, where populations are suffering from multiple stressors."
SOE2026_MAFMC_IR_Final_commented.xfdf,Samantha.L.Werner,15,2026-02-25 14:02:07,text,Sticky Note,"add ""somewhat"" after were and before equally"
SOE2026_MAFMC_IR_Final_commented.xfdf,Samantha.L.Werner,15,2026-02-25 14:02:59,highlight,Comment on Text,"change to ""baseline"""
SOE2026_MAFMC_IR_Final_commented.xfdf,Samantha.L.Werner,15,2026-02-25 14:11:25,text,Sticky Note,lower volumes and prices of Benthos species.
SOE2026_MAFMC_IR_Final_commented.xfdf,Samantha.L.Werner,16,2026-02-25 14:27:13,text,Sticky Note,Revenue?
SOE2026_MAFMC_IR_Final_commented.xfdf,Samantha.L.Werner,17,2026-02-25 14:24:33,text,Sticky Note,"consider deleting ""Var"""
SOE2026_MAFMC_IR_Final_commented.xfdf,Samantha.L.Werner,17,2026-02-25 14:28:59,highlight,Comment on Text,"change to ""The revenue index"""
SOE2026_MAFMC_IR_Final_commented.xfdf,Samantha.L.Werner,18,2026-02-25 11:33:01,highlight,Comment on Text,"Is there a figure showing landings per unit effort? If not, then it is not per unit effort (as trips, vessels vary over time). If not, delete ""per unit effort"""
SOE2026_MAFMC_IR_Final_commented.xfdf,Samantha.L.Werner,18,2026-02-25 11:34:25,highlight,Comment on Text,landing volumes
SOE2026_MAFMC_IR_Final_commented.xfdf,Samantha.L.Werner,18,2026-02-25 14:29:54,strikeout,Cross-Out,"replace with"" which were not offset by price increases."""
SOE2026_MAFMC_IR_Final_commented.xfdf,Joseph Caracappa,18,2026-03-11 14:52:05,highlight,Comment on Text,Tarsila: change to Total Vulnerability
SOE2026_MAFMC_IR_Final_commented.xfdf,Joseph Caracappa,18,2026-03-11 14:52:43,text,Sticky Note,"Tarsila: Change  yaxis to ""Total Vulnerability (Regional Revenue)"""
SOE2026_MAFMC_IR_Final_commented.xfdf,Robert Murphy,19,2026-02-23 09:20:10,highlight,Comment on Text,extra period
SOE2026_MAFMC_IR_Final_commented.xfdf,Robert Murphy,21,2026-02-23 09:29:46,highlight,Comment on Text,"not sure why this text had changed. but it should say, ""Temporal comparisons of the new Port Commercial Fishing Activity Indicator (PCFA) revealed notable trends across several top fishing ports. Six of the top 2024 communities experienced declines in PCFA scores from 15% - 35% compared to their average scores from 2007-2011"""
SOE2026_MAFMC_IR_Final_commented.xfdf,Robert Murphy,21,2026-02-23 10:59:08,highlight,Comment on Text,where did this come from?
SOE2026_MAFMC_IR_Final_commented.xfdf,Robert Murphy,21,2026-02-23 10:59:36,text,Sticky Note,I think it should be bronx
SOE2026_MAFMC_IR_Final_commented.xfdf,Kristan Blackhart,21,2026-03-02 07:06:22,highlight,Comment on Text,PCFA vs PCFAI - inconsistent use throughout
SOE2026_MAFMC_IR_Final_commented.xfdf,Robert Murphy,22,2026-02-23 09:24:54,text,Sticky Note,legend got cut off
SOE2026_MAFMC_IR_Final_commented.xfdf,Robert Murphy,22,2026-02-23 11:00:21,text,Sticky Note,and the new color ramp makes it hard to tell points apart. Could we use the color ramp I originally used?
SOE2026_MAFMC_IR_Final_commented.xfdf,Robert Murphy,22,2026-02-23 11:01:25,text,Sticky Note,caption should say factor rankings
SOE2026_MAFMC_IR_Final_commented.xfdf,Robert Murphy,22,2026-02-23 11:01:45,text,Sticky Note,caption should saw factor rankings
SOE2026_MAFMC_IR_Final_commented.xfdf,Robert Murphy,22,2026-02-23 11:02:02,highlight,Comment on Text,Why is Atlantic city being shown? and East Hampton? And caption should say factor rankings
SOE2026_MAFMC_IR_Final_commented.xfdf,Robert Murphy,23,2026-02-23 11:02:31,highlight,Comment on Text,same here
SOE2026_MAFMC_IR_Final_commented.xfdf,Joseph Caracappa,24,2026-03-11 15:02:26,highlight,Comment on Text,"Tarsila: ""environmental variability risk"""
SOE2026_MAFMC_IR_Final_commented.xfdf,Joseph Caracappa,24,2026-03-11 15:02:37,highlight,Comment on Text,Total vulnerability
SOE2026_MAFMC_IR_Final_commented.xfdf,Joseph Caracappa,24,2026-03-11 15:04:06,text,Sticky Note,tarsila: check if trends on
SOE2026_MAFMC_IR_Final_commented.xfdf,Kristan Blackhart,25,2026-03-02 07:12:46,highlight,Comment on Text,rewrite for improved reader comprehension
SOE2026_MAFMC_IR_Final_commented.xfdf,Kristin Precoda,25,2026-03-03 08:45:26,highlight,Comment on Text,"change to ""landings, although post-"""
SOE2026_MAFMC_IR_Final_commented.xfdf,Kristin Precoda,25,2026-03-03 08:45:41,highlight,Comment on Text,"delete ""but"""
SOE2026_MAFMC_IR_Final_commented.xfdf,Kristin Precoda,25,2026-03-03 08:46:00,highlight,Comment on Text,"change to ""objective for gray"""
SOE2026_MAFMC_IR_Final_commented.xfdf,Daniel Linden,26,2026-03-09 11:30:17,caret,Inserted Text,a steep decline after 2010
SOE2026_MAFMC_IR_Final_commented.xfdf,Daniel Linden,26,2026-03-09 11:31:30,caret,Inserted Text,[delete]
SOE2026_MAFMC_IR_Final_commented.xfdf,Daniel Linden,26,2026-03-09 11:31:53,caret,Inserted Text,While the
SOE2026_MAFMC_IR_Final_commented.xfdf,Daniel Linden,26,2026-03-09 11:32:33,caret,Inserted Text,"has exhibited slow growth since 2020, it"
SOE2026_MAFMC_IR_Final_commented.xfdf,Robert Murphy,28,2026-02-23 10:29:54,highlight,Comment on Text,"I had commented about this in earlier drafts, but we need to be careful about inferring causality. fishing opportunities might have something to do with this but not all."
SOE2026_MAFMC_IR_Final_commented.xfdf,Emily Liljestrand,28,2026-02-23 14:36:41,highlight,Comment on Text,"This seems like a very tricky thing to measure. Because you might see the same features in the data if a) the system is responding to changes without fundamentally changing composition or b) the system is not experiencing outside changes. If you see changes in composition and structure you know a system responded to changes without adaptive capacity. If you don't see changes in composition or structure, either it was adaptive or it didn't experience change. Will be interested to see how this is quantified in the next paragraphs..."
SOE2026_MAFMC_IR_Final_commented.xfdf,Emily Liljestrand,28,2026-02-23 14:40:19,highlight,Comment on Text,How are both things true? Changes in availability/abundance?
SOE2026_MAFMC_IR_Final_commented.xfdf,Emily Liljestrand,28,2026-02-23 14:46:34,highlight,Comment on Text,"Consider changing to ""other circumstances, like shark and large sport fish regulations and environmental conditions"""
